t,s1,s2
8.359999999999998,-436.38287593463934,-2676.1758320000004
8.38,-425.2391633022911,-2693.6905344931865
8.4,-413.2502370241636,-2707.1342031549475
8.42,-399.9267932520319,-2716.710547324274
8.439999999999998,-385.2194913910961,-2721.4082918062595
8.46,-369.1695047229069,-2726.4186499251846
8.48,-353.8207848760288,-2734.354634592112
8.5,-339.22016832155066,-2748.0702417571533
8.519999999999998,-325.03029336373726,-2768.7677692626185
8.540000000000001,-308.64164464506337,-2798.5759609532333
8.56,-290.57556255017573,-2835.7434420461927
8.58,-276.53806783056484,-2867.1862844493485
8.599999999999998,-266.756403405875,-2892.6596142443145
8.620000000000001,-261.11820565640573,-2917.6069467726006
8.64,-258.7447290580015,-2944.676377998905
8.66,-259.03301725008544,-2974.2725022497857
8.679999999999998,-259.9549255864784,-3002.3880491227187
8.700000000000001,-260.24486030685574,-3028.185229993981
8.72,-259.66515887935185,-3051.9113339312
8.74,-258.45475694268407,-3075.5172670868023
8.759999999999998,-256.9552794564495,-3100.1282228819255
8.779999999999998,-255.09896255789,-3126.50930846785
8.8,-254.1670084319526,-3153.016780465069
8.82,-256.02790805919494,-3177.881525368665
8.84,-260.8265233643611,-3200.499086554136
8.859999999999998,-268.8247747046767,-3220.8552689433054
8.88,-279.80087899186407,-3237.6587732059525
8.9,-293.3718104908649,-3249.891459608932
8.92,-308.8297899082382,-3255.147449393237
8.939999999999998,-326.5096167226649,-3251.799457627458
8.96,-346.31378140815025,-3238.9576142383753
8.98,-367.6700024024359,-3222.0475091604485
9.0,-386.9301900577024,-3212.6351829166647
9.02,-404.29198844019993,-3213.5447229236524
9.040000000000001,-419.60082073081173,-3223.558135511806
9.06,-432.7561178170455,-3240.0
9.08,-442.65536365479943,-3261.89916332583
9.1,-449.12251141456153,-3287.597888538314
9.120000000000001,-451.1665837125934,-3316.335530175464
9.14,-450.87640295133593,-3347.8228925055446
9.16,-450.2918536152012,-3377.3171113004255
9.18,-450.5821485229503,-3404.6251097140007
9.2,-452.0446501865893,-3430.9309334122813
9.22,-454.6905840076615,-3457.691901555248
9.24,-457.92052501930755,-3486.4031538697955
9.26,-462.10908782725215,-3517.118549245003
9.28,-465.0880084243802,-3548.4582096764325
9.3,-464.807419212987,-3576.497523252882
9.32,-460.61465868086566,-3602.0903797470296
9.34,-452.9175885575589,-3627.609863903157
9.36,-440.87165733262015,-3657.5550366354473
9.38,-424.971368127048,-3692.5571684584806
9.4,-409.9021041547505,-3720.908688938993
9.420000000000002,-396.8103304370096,-3742.3047622490662
9.44,-383.6394253840295,-3757.485136686793
9.46,-369.1695047229069,-3767.00633180372
9.48,-354.1113140466473,-3772.679946872104
9.5,-338.9449257028036,-3777.8710360252953
9.52,-325.1986595272129,-3786.641168682818
9.540000000000001,-312.81950535543206,-3800.15421031674
9.56,-300.77414570149665,-3818.3631093545177
9.58,-288.7046402784259,-3842.1149786821775
9.6,-275.03551129533486,-3871.9198323542873
9.620000000000001,-262.5821661659796,-3902.3228114265057
9.64,-254.45118791467797,-3928.3651051578154
9.66,-249.87473054427505,-3952.1925647970006
9.68,-248.66967148945952,-3977.210910558877
9.7,-251.73774642414887,-4006.03763389416
9.72,-257.8185244752534,-4037.062618695967
9.74,-265.87357337883145,-4069.1874002664217
9.76,-273.5616745638794,-4099.957945907491
9.78,-280.3813477796773,-4128.955431880204
9.8,-285.53024268794206,-4157.52633119084
9.82,-289.2609901054713,-4187.370408365912
9.84,-290.85102017180884,-4220.902894935023
9.86,-290.5740432365161,-4257.750026880989
9.88,-293.09936222426984,-4293.140713906464
9.9,-299.70880468761555,-4323.398471629959
9.920000000000002,-311.14214115970424,-4347.972223202647
9.94,-325.44300893174386,-4366.148067767584
9.96,-341.73774642414884,-4375.672278008384
9.98,-359.11954379768406,-4375.404739095591
10.0,-378.2352954516471,-4364.900958137384
10.02,-398.0456495382674,-4347.388653900239
10.04,-416.4250168181905,-4332.54267650561
10.06,-431.8296545647887,-4326.031870160122
10.08,-445.3094640385659,-4325.656592279637
10.1,-457.0500640855744,-4330.206211519446
10.12,-466.9392862174725,-4337.23912971753
10.14,-475.4852218097537,-4346.280311196124
10.16,-481.93099069507394,-4356.332703250893
10.18,-486.8114174205876,-4365.766874784892
10.2,-490.3398472184591,-4374.771240307323
10.22,-492.63208366859766,-4382.765303057721
10.24,-493.46177468411264,-4389.850950612815
10.26,-493.0448994730314,-4395.459832123141
10.28,-491.80326242595066,-4400.389342422346
10.3,-489.32544981672487,-4404.424420335267
10.32,-485.7556359835815,-4407.276659265349
10.34,-481.12062611283886,-4409.966029995566
10.36,-475.0926738749234,-4412.9333974200445
10.38,-467.58587911072266,-4416.286195541096
10.4,-458.54270769714253,-4420.348417519625
10.42,-448.24778131716926,-4424.943759192991
10.44,-436.38287593463934,-4428.350195860761
10.46,-423.6678131665566,-4428.554585208537
10.48,-410.3141237613768,-4424.538929830091
10.5,-396.5765979907206,-4414.340417585441
10.52,-383.6394253840295,-4397.388062285616
10.54,-371.88408218302266,-4373.934451891265
10.56,-362.9523802420302,-4343.746424162362
10.58,-355.87357337883145,-4308.991887727927
10.6,-348.1657601107023,-4275.971514502442
10.62,-338.0146660176446,-4248.646274509772
10.64,-326.0152546759261,-4228.384984699381
10.66,-313.23787029656006,-4214.027920484769
10.68,-300.3667676176828,-4206.055396103461
10.7,-288.32998834552427,-4202.607540541849
10.72,-276.8321988637832,-4202.781495958082
10.74,-266.46198478773255,-4205.512723064653
10.76,-257.5302828467401,-4208.686238425826
10.78,-250.15337492429143,-4212.36482561584
10.8,-244.3335095028936,-4214.811464455327
10.82,-240.10812262816904,-4217.051325706892
10.84,-237.07848408338288,-4219.447243413353
