Tempo Angle omega x y
s degrees degrees/s  
18.2640 -13.5567 12.5361  
18.2960 -13.2568 60.4261  
18.3310 -12.7358 60.0725  
18.3640 -11.2801 60.6488  
18.3970 -10.2940 78.9197  
18.4310 -9.1179 66.2397  
18.4640 -7.7745 67.4844  
18.4970 -6.2789 67.5315  
18.5300 -4.2881 94.0649  
18.5640 -2.2669 39.5523  
18.5970 -0.1033 55.6884  
18.6300 2.0262 48.2555  
18.6640 3.9943 14.3461  
18.6970 5.5897 -52.2490  
18.7310 7.0029 22.9813  
18.7640 8.2732 24.9502  
18.7970 9.3371 4.9409  
18.8300 10.3860 62.9887  
18.8640 12.3780 368.6971  
18.8970 12.7770 -442.0160  
18.9350 12.9841 -2.1173  
18.9630 12.9505 -29.0699  
18.9970 12.7991 -20.3378  
19.0310 12.7252 -27.8939  
19.0640 12.6324 17.9455  
19.0970 12.4828 7.7137  
19.1300 12.1336 -55.5138  
19.1640 11.4302 -43.0584  
19.1970 9.2145 -78.3911  
19.2310 8.2338 -65.7795  
19.2640 7.0391 -67.2953  
19.2970 5.7030 -67.5059  
19.3300 4.1988 -71.8940  
19.3640 2.5647 -66.0914  
19.3970 0.6989 -52.2649  
19.4300 -1.4058 -64.7128  
19.4640 -3.5000 -50.7634  
19.4970 -5.5976 -45.4028  
19.5300 -7.4323 1.2557  
19.5640 -8.9839 17.5162  
19.5970 -10.2322 24.6128  
19.6300 -11.2936 -10.8933  
19.6640 -12.1270 -2.7032  
19.7300 -12.7336 0.3164  
19.7640 -13.1739 -1.8257  
19.7970 -13.3218 23.8868  
19.8310 -13.2240 21.5262  
19.8640 -13.1582 -55.1122  
19.8970 -13.0387 17.5072  
19.9320 -12.9273 14.7196  
19.9620 -12.7120 61.7048  
19.9970 -12.2475 60.9458  
20.0300 -11.5763 59.8310  
20.0630 -10.6578 75.5630  
20.0970 -9.4840 73.2716  
20.1310 -8.1664 65.5016  
20.1640 -6.7115 63.7631  
20.1970 -4.8267 75.1669  
20.2310 -2.7756 65.9054  
20.2640 -0.6165 48.3058  
20.2970 1.5376 54.6183  
20.3310 3.5379 17.4800  
20.3670 5.4269 23.9469  
20.3970 6.8750 -63.8450  
20.4310 8.1380 18.8287  
20.4640 9.2217 13.1324  
20.4970 10.2736 54.1430  
20.5650 10.9311 -21.5189  
20.5970 11.3322 -10.1072  
20.6310 11.5220 -15.2931  
20.6640 11.4622 -20.9659  
20.6970 11.2615 -24.7175  
20.7300 10.8708 -31.4453  
20.7640 10.8538 53.5680  
20.7970 10.6150 -47.8004  
20.8310 10.1592 -51.0692  
20.8640 9.3041 -66.8829  
20.8970 8.3728 -67.3890  
20.9310 7.2397 -68.9062  
20.9640 5.9482 -63.7425  
20.9970 4.4890 -71.7834  
21.0310 2.8767 -69.0254  
21.0640 1.1934 -52.9433  
21.0970 -0.8726 -60.8032  
21.1300 -2.9659 -56.0713  
21.1630 -5.0405 -46.9323  
21.1970 -6.9010 -1.9406  
21.2310 -8.3011 69.9733  
21.2640 -9.5456 -23.8077  
21.2970 -10.6234 -13.2570  
21.3310 -11.5082 -12.8893  
21.3640 -12.3687 -63.7563  
21.3970 -13.0666 -3.6603  
21.4310 -13.3391 66.0858  
21.4640 -13.3800 14.1061  
21.4970 -13.2043 18.7326  
21.5300 -12.9339 26.6868  
21.5640 -13.0981 -57.8762  
21.5970 -13.1673 5.0115  
21.6300 -12.9955 59.7494  
21.6640 -12.5952 54.3225  
21.6970 -11.7870 59.8568  
21.7300 -10.7421 68.0941  
21.7650 -9.6721 71.3238  
21.7970 -8.4012 77.3479  
21.8300 -6.9818 63.7424  
21.8640 -5.4274 65.6055  
21.8970 -3.4175 78.3984  
21.9300 -1.2748 45.2435  
21.9650 0.8546 52.5417  
21.9970 2.8423 13.4161  
22.0300 4.6795 14.2635  
22.0630 6.1974 -28.6490  
22.0970 7.5352 20.4477  
22.1300 8.6720 14.0986  
22.1640 9.6332 10.2078  
22.1970 10.6258 77.1073  
22.2300 11.0349 -98.4170  
22.2630 11.3390 13.4206  
22.2980 11.4158 -12.3820  
22.3310 11.3944 -16.7670  
22.3530 11.2391 -39.4360  
22.3970 11.1091 -15.7491  
22.4300 11.0197 33.3732  
22.4630 10.7992 -25.6428  
22.4970 10.3695 -51.3107  
22.5310 9.4620 -65.6784  
22.5640 8.6579 -67.1179  
22.5980 7.5863 -65.6134  
22.6310 6.3352 -67.5543  
22.6640 4.9169 -67.4027  
22.6970 3.3371 -75.2608  
22.7350 1.6395 -49.2133  
22.7640 -0.3651 -67.9272  
22.7960 -2.4736 -58.8662  
22.8310 -4.5798 -49.2125  
22.8640 -6.5249 -18.8542  
22.8970 -8.0010 75.0272  
22.9310 -9.3132 -17.4201  
22.9640 -10.4552 -15.9934  
22.9970 -11.4189 -13.3535  
23.0300 -11.9823 46.0415  
23.0640 -12.7582 -117.5262  
23.0970 -13.0807 77.7188  
23.1310 -13.1772 11.0815  
23.1640 -13.0483 16.0702  
23.1970 -12.7691 26.7124  
23.2310 -12.6460 26.9076  
23.2640 -12.6307 -50.6129  
23.2970 -12.4941 20.7805  
23.3310 -12.1160 58.0493  
23.3640 -11.6897 60.6565  
23.3970 -10.6540 63.5840  
23.4310 -9.6248 73.5150  
23.4640 -8.4104 67.5184  
23.4970 -7.0140 71.2364  
23.5300 -5.4952 63.8056  
23.5640 -3.8071 76.7164  
23.5970 -1.7925 48.2935  
23.6310 0.3372 54.0616  
23.6640 2.4532 55.6195  
23.6970 4.3391 -9.0469  
23.7310 5.8809 -39.5140  
23.7640 7.2508 23.6842  
23.7970 8.4502 15.8234  
23.8310 9.4522 11.0969  
23.8640 10.5833 102.9134  
23.8970 11.5076 16.3664  
23.9310 11.8701 -118.3239  
23.9640 12.0056 -13.1364  
23.9970 11.9108 -14.1251  
24.0310 11.7678 -22.9813  
24.0640 11.6639 -28.8635  
24.0970 11.6498 50.9191  
24.1300 11.4719 -33.8424  
24.1640 11.0882 -49.4205  
24.1970 10.1910 -52.6963  
24.2310 8.9811 -76.0740  
24.2640 7.9502 -67.6745  
24.2970 6.7397 -67.5495  
24.3300 5.3526 -67.6602  
24.3640 3.8070 -69.5768  
24.3850 2.1594 -93.9792  
