Tempo Angle omega x y
s degrees degrees/s  
14.2450 -4.5903 -46.5122  
14.2970 -5.9896 -12.5041  
14.3300 -7.1936 -15.2819  
14.3480 -8.1173 26.8135  
14.3960 -9.0886 -69.6328  
14.4120 -9.5867 184.5235  
14.4630 -9.8787 8.0718  
14.4970 -9.9527 19.1239  
14.5300 -10.0320 28.0845  
14.5450 -9.9112 65.2780  
14.5970 -9.6001 23.1720  
14.6300 -9.2700 -13.9473  
14.6450 -8.7002 126.2380  
14.6960 -8.0358 27.9900  
14.7150 -6.7505 150.8783  
14.7650 -5.5280 46.5077  
14.7920 -4.1136 86.3022  
14.8120 -2.5327 115.7552  
14.8640 -0.7414 58.2805  
14.9000 1.1045 42.3564  
14.9300 2.8188 -3.6887  
14.9450 4.7920 141.9623  
14.9970 6.8375 50.2946  
15.0300 8.6334 -32.3478  
15.0630 9.8805 -79.4413  
15.0790 10.9417 29.1222  
15.1300 11.8907 23.6946  
15.1630 13.2834 204.6205  
15.1790 13.5834 -493.5588  
15.2300 13.6934 -7.3492  
15.2460 14.1375 201.8665  
15.2960 14.4015 6.5829  
15.3290 13.7826 -188.3021  
15.3450 13.1744 -60.0545  
15.3970 13.0484 42.3296  
15.4300 12.6030 -82.6784  
15.4450 11.8170 -146.5629  
15.4970 10.1241 -44.5198  
15.5300 8.9744 -74.7208  
15.5450 7.6163 -163.9293  
15.5970 5.6756 -49.9070  
15.6300 3.5961 -32.1243  
15.6630 1.9010 -71.7875  
15.6790 0.3232 13.2012  
15.7300 -1.5284 -10.5047  
15.7640 -3.1956 -26.0461  
15.7970 -4.7265 -25.2922  
15.8120 -6.0816 -37.1705  
15.8640 -7.2220 -6.1282  
15.8970 -8.3492 -70.5028  
15.9150 -8.9973 121.9898  
15.9630 -9.5078 6.5829  
15.9960 -9.7401 12.4958  
16.0120 -9.9193 46.4121  
16.0630 -9.9523 18.1587  
16.0960 -9.7988 29.6945  
16.1120 -9.5979 -22.5971  
16.1640 -9.2000 27.1812  
16.1970 -8.6318 41.9422  
16.2290 -7.6002 72.1124  
16.2460 -6.5425 144.4822  
16.2960 -5.2700 49.2916  
16.3120 -3.8192 137.1513  
16.3640 -2.2112 44.5270  
16.3960 -0.4200 86.1835  
16.4120 1.4219 92.9679  
16.4630 3.0999 -39.2437  
16.4790 5.0076 231.9108  
16.5310 7.0528 53.0643  
16.5630 8.6994 -52.4367  
16.5790 9.9106 -118.6590  
16.6370 10.9126 6.4304  
16.6510 11.8421 104.9117  
16.6970 12.4233 -25.3566  
16.7300 12.6863 -12.8922  
16.7460 12.7443 -35.1138  
16.7970 13.4793 93.5043  
16.8300 13.2130 -190.9789  
16.8450 12.5588 -74.6899  
16.8970 12.2211 28.6083  
16.9330 11.9751 -27.2659  
16.9460 11.4653 -174.2326  
16.9970 10.5754 -45.7447  
17.0300 9.5852 -65.7120  
17.0450 8.3901 -164.9833  
17.0970 7.0055 -47.2559  
17.1300 4.8980 -74.5345  
17.1620 3.2289 -59.9556  
17.1790 1.5435 -75.4567  
17.2300 -0.2212 13.5947  
17.2460 -1.9900 -63.8139  
17.2970 -3.6207 -17.3540  
17.3300 -5.1016 -25.3056  
17.3450 -6.4215 -37.1917  
17.3970 -7.5164 -4.3316  
17.4630 -8.3656 0.0000  
17.4970 -8.9370 9.3615  
17.5300 -9.2608 16.9005  
17.5450 -9.3821 49.4798  
17.5970 -9.4842 17.0203  
17.6300 -9.3635 36.5580  
17.6480 -9.0878 36.9574  
17.6970 -8.6835 9.2227  
17.7130 -8.0553 104.9899  
17.7640 -7.1652 46.9555  
17.7790 -6.0431 154.6184  
17.8300 -4.7198 45.6987  
17.8630 -3.2190 70.7059  
17.8960 -1.5745 66.0138  
17.9120 0.2438 163.9561  
17.9630 2.0863 28.3912  
17.9990 3.6539 -57.8756  
18.0120 5.2993 94.6056  
18.0640 7.3394 108.2255  
18.0960 8.8122 -102.4897  
18.1120 9.9644 -55.3250  
18.1630 11.0712 36.7765  
18.2300 11.9667 3.2810  
18.2630 12.4316 -64.4287  
18.2790 12.6198 -9.0302  
18.3300 13.0806 81.8323  
18.3480 13.1186 -350.6020  
18.3970 12.9355 -20.0210  
18.4300 12.1355 -16.4214  
18.4630 11.8101 44.4693  
18.4790 11.2733 -187.4936  
18.5130 10.3159 -68.5485  
18.5640 9.1050 -45.4067  
18.5960 7.8738 -72.7460  
18.6120 6.3979 -162.0019  
18.6630 4.2859 -42.8941  
18.6960 2.6711 -40.5750  
18.7300 1.0534 -29.6800  
18.7460 -0.5289 -11.8174  
18.7970 -2.3440 -16.8653  
18.8300 -3.9383 -23.9868  
18.8480 -5.3738 -41.2552  
18.8970 -6.6189 -8.4155  
18.9120 -7.8330 -134.4965  
18.9970 -8.5954 22.6454  
19.0300 -9.1071 9.6680  
19.0450 -9.4199 43.3475  
19.0970 -9.5577 14.2619  
19.1300 -9.5786 29.6571  
19.1630 -9.3931 36.5279  
19.1790 -9.1236 2.9511  
19.2300 -8.6647 22.5776  
19.2630 -8.0196 43.9452  
19.2790 -6.9009 169.8805  
19.3300 -5.7292 48.1500  
19.3630 -4.3696 66.5716  
19.3960 -2.8436 70.1521  
19.4120 -1.1718 137.4428  
19.4630 0.6509 48.7954  
19.4790 2.2183 -84.2963  
19.5300 3.7879 1.3706  
19.5450 5.3539 74.3451  
19.6000 7.2752 90.9732  
19.6130 8.6067 -244.6163  
19.6630 9.6907 -0.3745  
19.6790 10.5735 11.4687  
19.7300 12.5698 263.7420  
19.7460 13.0894 -785.5023  
19.7970 13.1422 -42.7225  
19.8300 13.4469 35.4307  
19.8450 13.9621 145.0170  
19.8960 13.8034 -110.2707  
19.9120 13.0273 -73.1392  
19.9630 12.5160 -10.4276  
19.9790 12.0952 55.3367  
20.0310 11.3402 -60.7263  
20.0640 9.0214 -66.2865  
20.0790 7.7138 -163.7144  
20.1290 6.3921 -46.4043  
20.1460 4.6664 -168.8532  
20.1960 2.5449 -35.6565  
20.2120 0.9295 -35.2080  
20.2630 -0.8097 -47.2035  
20.2790 -2.3576 86.3352  
20.3300 -4.0964 -20.0883  
20.3460 -5.5983 -49.2847  
20.3970 -6.9373 -10.9534  
20.4190 -8.0717 -18.5927  
20.4630 -8.9702 0.8693  
20.4790 -9.7184 -85.4804  
20.5300 -10.1554 26.0673  
20.5630 -10.4952 12.3951  
20.5790 -10.5198 46.5382  
20.6300 -10.5989 16.3856  
20.6630 -10.4872 26.8002  
20.6790 -10.1759 75.4424  
20.7300 -9.8846 -14.8820  
20.7460 -9.3113 150.7074  
20.7970 -8.6435 19.2615  
20.8290 -7.5673 84.9185  
20.8460 -6.3919 136.5520  
20.8970 -5.0392 42.7773  
20.9120 -3.5285 154.9833  
20.9630 -1.8130 56.5472  
20.9790 -0.0797 66.3712  
21.0300 1.5802 9.2753  
21.0460 3.4472 82.0165  
21.0970 5.4134 66.7349  
21.1300 7.3093 8.4632  
21.1450 8.6145 -212.6229  
21.1970 9.8596 33.0685  
21.2120 10.8745 -7.9680  
21.2640 12.0006 66.0841  
21.2790 12.3382 -333.4024  
21.3310 12.5230 -8.9731  
21.3630 12.9611 93.9636  
21.3790 13.2518 -10.1458  
21.4310 12.6711 -102.1077  
21.4630 11.9747 -27.4425  
21.4790 11.7368 87.1828  
21.5300 11.0795 -48.5058  
21.5450 10.2149 -146.1653  
21.5970 8.7888 -41.9041  
21.6120 7.6163 -164.2843  
21.6630 6.2450 -48.1452  
21.6790 4.3131 -162.4207  
21.7300 2.2777 -23.4765  
21.7460 0.5805 -120.4869  
21.7970 -0.9196 21.4291  
21.8120 -2.6707 -74.3395  
21.8630 -4.2720 -19.1470  
21.8790 -5.7378 -52.2872  
21.9310 -7.0416 -10.7493  
21.9460 -8.1305 -21.0310  
22.0310 -8.9773 -0.4077  
22.0630 -9.5422 6.8858  
22.0790 -9.9372 31.4080  
22.1300 -10.0649 14.5916  
22.1460 -10.2136 55.1703  
22.1970 -10.1486 20.0635  
22.2120 -9.8888 64.6473  
22.2640 -9.5194 5.0151  
22.2790 -9.0066 58.3011  
22.3300 -8.2316 45.2370  
22.3460 -7.2073 153.5963  
22.3960 -5.9864 43.7338  
22.4120 -4.5829 145.5615  
22.4640 -3.0340 42.2540  
22.4790 -1.3004 182.0011  
22.5300 0.4794 29.1379  
22.5460 2.0009 -100.8518  
22.5970 3.5635 13.1648  
22.6120 5.5575 345.9100  
22.6630 7.2532 -13.2527  
22.6790 8.4751 -142.5468  
22.7300 9.6694 37.4659  
22.7630 10.7079 23.3837  
22.7800 11.3083 -128.4902  
22.8130 11.6046 -9.4351  
22.8630 11.6962 -11.1967  
22.8790 12.3677 261.5387  
22.9180 12.3909 -149.0126  
22.9460 11.7877 -38.4313  
22.9970 11.3708 23.3043  
23.0120 11.1316 -33.6366  
23.0630 10.4018 -58.7440  
23.0790 9.3894 -128.3416  
23.1130 8.3500 -72.1657  
23.1630 7.1092 -46.5414  
23.1790 5.6925 -144.8384  
23.2290 3.6130 -48.8748  
23.2450 1.9836 -81.9197  
23.2970 0.3539 -20.7578  
23.3120 -1.4295 -23.2131  
23.3630 -3.2015 -7.6458  
23.3790 -4.7528 -49.3639  
23.4300 -6.1732 -14.5874  
23.4460 -7.4042 -34.9458  
23.4960 -8.4246 -4.4441  
23.5630 -9.2133 0.0000  
