Tempo Ângulo omega x y
s graus graus/s  
13.7140 -5.8059 7.3785  
13.7660 -5.7461 4.6682  
13.7990 -5.4524 35.4311  
13.8150 -4.9104 132.2867  
13.8660 -4.1794 34.6364  
13.8990 -2.5564 49.9822  
13.9320 -1.4398 49.2791  
13.9650 -0.3477 14.2755  
13.9810 0.5864 -31.7794  
14.0320 1.5132 12.0890  
14.0660 2.5204 27.1298  
14.0980 3.6125 34.1099  
14.1150 4.6270 23.1602  
14.1660 5.3082 -23.8639  
14.1810 5.7119 -67.2403  
14.2150 5.8960 -16.0535  
14.2650 5.8649 -10.5299  
14.2810 5.7137 -45.5998  
14.3320 5.6170 0.7058  
14.3660 5.3040 -45.4636  
14.3990 4.7232 -53.2213  
14.4320 3.7962 -71.8065  
14.4480 2.7042 -78.5433  
14.4990 1.6317 -20.0472  
14.5320 0.6923 9.7870  
14.5660 -0.2399 -13.9497  
14.5810 -1.1717 -34.8310  
14.6330 -2.1248 -18.1310  
14.6700 -3.3307 -67.3382  
14.6830 -4.4924 -84.9208  
14.7320 -5.1290 71.3326  
14.7480 -5.4333 59.5534  
14.7990 -5.5687 8.4643  
14.8210 -5.6015 0.2324  
14.8490 -5.5849 29.1376  
14.8990 -5.4895 6.2731  
14.9140 -5.2113 87.0658  
14.9650 -4.6142 44.0454  
14.9810 -3.6059 101.2466  
15.0320 -2.2949 37.7176  
15.0650 -1.2107 37.1666  
15.0810 -0.1785 27.0998  
15.1330 0.7648 -8.7995  
15.1660 1.8043 29.3014  
15.1990 2.7627 0.1492  
15.2140 3.7988 72.7342  
15.2660 4.7857 15.6549  
15.2980 5.3541 -60.5965  
15.3140 5.7686 5.0812  
15.3480 5.8798 -32.6602  
15.3990 5.8135 -10.7358  
15.4140 5.7457 27.8783  
15.4650 5.5810 -27.9693  
15.4810 5.1569 -101.6495  
15.5330 4.5696 -31.3096  
15.5650 3.6475 -70.4964  
15.5810 2.5188 -78.2766  
15.6330 1.5319 -10.0325  
15.6660 0.5589 6.6930  
15.6810 -0.3752 -48.1518  
15.7330 -1.2999 -8.7024  
15.7650 -2.3457 -24.7709  
15.7810 -3.5301 -175.8279  
15.8320 -4.6027 -9.9596  
15.8480 -5.1724 212.5394  
15.8990 -5.4271 17.5348  
15.9140 -5.5079 32.4416  
15.9660 -5.5508 -2.7495  
15.9810 -5.5652 33.7509  
16.0320 -5.4090 19.2895  
16.0650 -5.0777 39.3358  
16.0810 -4.4402 141.8541  
16.1320 -3.3453 34.5143  
16.1480 -2.0263 108.3441  
16.1810 -0.9776 21.1420  
16.2320 -0.0528 -6.7596  
16.2480 0.8781 34.2294  
16.2990 1.9087 16.7436  
16.3140 2.8756 -8.7098  
16.3990 4.0021 30.3495  
16.4320 4.7598 -72.4328  
16.4480 5.2266 -39.9185  
16.4990 5.4535 -12.5327  
16.5140 5.4615 -30.4124  
16.5660 5.4087 1.7384  
16.5980 5.2487 -44.2528  
16.6150 4.8831 -88.7552  
16.6650 4.2550 -35.4239  
16.6810 3.4277 -132.6996  
16.7320 2.2273 -22.5614  
16.7480 1.2041 -38.6687  
16.7990 0.2821 7.3303  
16.8140 -0.6429 -44.6014  
16.8650 -1.5654 -8.4579  
16.8990 -2.5579 -17.9588  
16.9660 -3.5545 -21.7380  
16.9990 -4.2047 59.2503  
17.0140 -4.6326 30.1763  
17.0650 -4.7797 13.4064  
17.0850 -4.8408 -14.5364  
17.1320 -4.7723 14.4323  
17.1480 -4.6463 59.2671  
17.1990 -4.2421 41.4249  
17.2320 -3.6181 53.5216  
17.2480 -2.7664 104.2213  
17.2990 -1.6177 29.6665  
17.3140 -0.5852 52.8735  
17.3650 0.3488 -10.4313  
17.3810 1.2692 34.2387  
17.4320 2.3043 16.7786  
17.4480 3.2423 -18.2552  
17.5330 4.1960 13.0022  
17.5650 4.8586 -24.9491  
17.5850 5.2393 -52.6551  
17.6150 5.4076 -15.2141  
17.6470 5.4389 4.4754  
17.6990 5.3226 -13.1374  
17.7140 5.1070 -101.5947  
17.7540 4.6786 -39.5289  
17.7990 3.9615 -45.1550  
17.8140 3.1033 -113.4567  
17.8650 2.0272 -21.0667  
17.8810 1.0737 26.7362  
17.9330 0.1701 -10.6590  
17.9660 -0.7548 -20.2764  
17.9810 -1.7764 -54.9299  
18.0320 -2.8959 -32.5936  
18.0990 -3.8727 -1.4490  
18.1180 -4.5228 88.7506  
18.1650 -4.8619 22.9365  
18.1810 -5.0519 -13.1530  
18.2330 -5.0210 21.8057  
18.2480 -5.0111 14.5325  
18.2990 -4.8352 21.6794  
18.3140 -4.3779 142.9952  
18.3650 -3.6557 35.7757  
18.3810 -2.5935 108.6695  
18.4330 -1.3727 28.6222  
18.4650 -0.4020 -25.4552  
18.4810 0.5230 38.8330  
18.5310 1.5239 10.9579  
18.5480 2.4664 32.3696  
18.5990 3.3238 -12.4246  
18.6150 4.2481 110.9776  
18.6650 4.8463 -22.3336  
18.6810 5.2136 -30.2642  
18.7330 5.3614 -8.7823  
18.7660 5.3056 -16.5939  
18.7810 5.3565 16.8573  
18.8320 5.2631 -16.1060  
18.8480 4.9570 -98.7236  
18.8990 4.4204 -34.4117  
18.9140 3.7248 -148.2154  
18.9650 2.7170 -26.4084  
18.9810 1.7350 -53.6335  
19.0320 0.8407 7.6988  
19.0650 -0.0845 -23.2053  
19.0810 -1.0478 -58.0033  
19.1140 -2.0632 -8.1650  
19.1650 -3.1404 -28.2018  
19.1810 -4.2290 -105.8309  
19.2330 -4.8372 58.6220  
19.2660 -5.1996 7.1022  
19.2810 -5.3183 72.7051  
19.3320 -5.2394 21.9156  
19.3480 -5.2772 -48.3678  
19.3990 -5.1462 18.0743  
19.4150 -4.8251 60.8411  
19.4690 -4.2254 46.6068  
19.4830 -3.3192 116.1539  
19.5330 -2.0528 38.1585  
19.5650 -1.0292 19.4184  
19.5810 -0.0450 -9.9880  
19.6320 0.8666 7.1581  
19.6480 1.7486 51.2729  
19.6990 2.7152 1.4336  
19.7140 3.7152 83.7030  
19.7650 4.6314 2.6548  
19.7810 5.1683 -79.7437  
19.8330 5.5354 -1.3880  
19.8480 5.6089 -68.5086  
19.8990 5.5656 -10.7345  
19.9150 5.4964 -26.1417  
19.9660 5.3568 -6.6412  
19.9850 4.9713 -86.2689  
20.0320 4.4017 -37.6123  
20.0480 3.4391 -167.1442  
20.0990 2.3980 -12.7427  
20.1140 1.4353 -32.7546  
20.1650 0.4839 0.7928  
20.1810 -0.4321 -42.0963  
20.2320 -1.3752 -16.0554  
20.2480 -2.3124 -22.4362  
20.2990 -3.6238 -80.0125  
20.3320 -4.6922 23.9697  
20.3480 -5.2494 208.9938  
20.4000 -5.4540 16.3865  
20.4140 -5.5336 42.8435  
20.4480 -5.5330 9.1497  
20.4880 -5.4790 14.3402  
20.5150 -5.2986 21.8744  
20.5660 -4.9183 23.1608  
20.5810 -4.2670 156.6648  
20.6320 -3.0465 31.6060  
20.6480 -1.7311 108.7046  
20.6990 -0.6790 13.9612  
20.7140 0.2459 -28.0428  
20.7660 1.2059 18.2793  
20.7810 2.1620 18.2070  
20.8320 3.0284 -6.3634  
20.8990 3.9387 15.3801  
20.9180 4.6497 -42.7491  
20.9650 5.0687 -12.1188  
20.9810 5.2718 -34.2340  
21.0330 5.3253 4.6886  
21.0480 5.2349 -48.4977  
21.0990 5.0658 -23.6660  
21.1150 4.6504 -94.5267  
21.1650 4.0312 -35.3130  
21.1810 3.2326 -132.4035  
21.2320 2.2428 -17.2727  
21.2480 1.3153 -11.8582  
21.2990 0.3831 -12.0918  
21.3170 -0.5237 -16.2998  
21.3490 -1.5389 -26.2476  
21.3990 -2.4939 -2.5261  
21.4650 -3.5385 -31.8491  
21.4810 -4.2117 137.5587  
21.5320 -4.6216 17.0065  
21.5480 -4.7506 43.1825  
21.5990 -4.7640 5.3811  
21.6150 -4.7303 17.6333  
21.6660 -4.5609 14.5083  
21.6810 -4.1364 150.5130  
21.7320 -3.4659 31.7592  
21.7480 -2.6181 102.9007  
21.7810 -1.4261 40.6229  
21.8150 -0.3865 19.9235  
21.8650 0.5294 -7.4012  
21.8810 1.4491 45.5498  
21.9330 2.3592 3.4217  
21.9480 3.2000 -27.3829  
22.0330 4.1129 17.1968  
22.0660 4.7107 -27.0733  
22.0810 5.0675 -52.6958  
22.1340 5.2141 -8.6106  
22.1660 5.2311 1.4295  
22.1850 5.1091 -37.5809  
22.2150 4.9109 -37.7023  
22.2650 4.4644 -35.0879  
22.2810 3.7913 -130.4703  
22.3320 3.0040 -30.4574  
22.3480 1.9860 -52.7999  
22.3990 1.0818 4.7789  
22.4150 0.1837 -45.5432  
22.4650 -0.7321 -12.6644  
22.4810 -1.7256 -45.7401  
22.5330 -2.6780 -5.8360  
22.5480 -3.8255 -205.4381  
22.5990 -4.5406 50.3933  
22.6150 -4.9194 79.7049  
22.6650 -5.0737 13.8267  
22.6810 -5.0793 40.1772  
22.7310 -5.1013 1.5811  
22.7480 -5.0008 29.2020  
22.8000 -4.7404 18.5857  
22.8150 -4.1804 150.8527  
22.8660 -3.4129 34.7642  
22.8810 -2.1913 97.2454  
22.9320 -1.1134 22.2183  
22.9480 -0.2070 -27.4639  
22.9990 0.6942 12.5228  
23.0140 1.6023 47.4660  
23.0660 2.5217 3.7086  
23.0810 3.4406 32.7168  
23.1320 4.3307 13.3083  
23.1480 4.8758 -74.2078  
23.1990 5.2355 -1.5901  
23.2320 5.3759 -22.2732  
23.2510 5.3593 -22.9418  
23.2820 5.3835 -1.0039  
23.3160 5.2971 -13.7597  
23.3660 4.9611 -35.6963  
23.3810 4.4436 -108.0440  
23.4210 3.6128 -66.0738  
23.4490 2.6374 -27.4275  
23.4990 1.7478 -6.5615  
23.5140 0.8868 13.6253  
23.5660 -0.0182 -22.5955  
23.5810 -0.9691 -59.7168  
23.6320 -1.9450 -5.4968  
23.6480 -3.1773 -189.4586  
23.6990 -4.2648 -6.6140  
23.7180 -4.8655 170.9234  
23.7660 -5.1264 15.7153  
23.7810 -5.2507 39.9238  
23.8320 -5.2315 21.6896  
23.8480 -5.3006 -42.3951  
23.8990 -5.1580 18.4896  
23.9150 -4.8352 56.5868  
23.9660 -4.2317 49.5365  
23.9810 -3.1632 107.9383  
24.0150 -1.9072 45.2143  
24.0660 -0.9533 4.4489  
24.0810 -0.0285 30.8950  
24.1320 0.8729 7.1581  
24.1510 1.7495 45.1435  
24.1990 2.6844 -1.9751  
24.2140 3.6709 97.1800  
24.2660 4.6383 13.7583  
24.2810 5.1545 -132.3968  
24.3320 5.4390 -13.6812  
24.3480 5.5243 -28.4100  
24.3990 5.5250 -12.1362  
24.4150 5.4898 6.5087  
24.4660 5.3184 -19.5551  
24.4810 4.9144 -97.8578  
24.5150 4.3431 -51.9915  
24.5660 3.4243 -39.5716  
24.5840 2.3120 -67.7139  
24.6320 1.3839 -2.9867  
24.6480 0.4050 -75.3927  
24.6990 -0.4908 7.3682  
24.7140 -1.4137 -59.2900  
24.7650 -2.3593 -2.4038  
24.7810 -3.5118 -191.6400  
24.8320 -4.4781 7.7144  
24.8480 -5.0004 167.0479  
24.8990 -5.2468 14.5209  
24.9140 -5.3102 40.7143  
24.9650 -5.2499 21.4650  
24.9810 -5.1238 -34.2976  
25.0370 -4.9418 16.6895  
25.0510 -4.5349 97.1245  
25.0990 -3.8945 46.0930  
25.1150 -2.7863 100.7049  
25.1500 -1.5708 41.9139  
25.1990 -0.5779 9.1296  
25.2150 0.3380 -1.9217  
25.2650 1.2690 15.2552  
25.2810 2.1325 26.1746  
25.3330 3.0260 -4.7563  
25.3990 3.9527 19.1669  
25.4150 4.6612 -51.3397  
25.4650 5.0451 -20.6698  
25.4810 5.2315 -22.7234  
25.5330 5.1986 -13.9733  
25.5480 5.1342 8.8124  
25.5990 4.9643 -21.2691  
25.6150 4.5530 -103.2481  
25.6700 3.9379 -29.4418  
25.6830 3.1358 -162.8829  
25.7330 2.1118 -19.0617  
25.7480 1.1830 8.6438  
